subsystem|bucket|file|line|size_expr|hint|code
bfd|C|internal/plugins/bfd/auth/persist.go|171|0, len(key|builder cap variable (len(key)|b := make([]byte, 0, len(key))
bfd|C|internal/plugins/bfd/auth/sha1.go|144|v.bodyLen-8|variable (v.bodyLen-8)|received := make([]byte, v.bodyLen-8)
bfd|C|internal/plugins/bfd/auth/sha1.go|146|c.Length|variable (c.Length)|scratch := make([]byte, c.Length)
bfd|A|internal/plugins/bfd/auth/sha1.go|57|keySize|named constant keySize|key := make([]byte, keySize)
bfd|A|internal/plugins/bfd/auth/sha1.go|105|keySize|named constant keySize|key := make([]byte, keySize)
bfd|A|internal/plugins/bfd/packet/pool.go|46|PoolBufSize|named constant PoolBufSize|b := make([]byte, PoolBufSize)
bfd|A|internal/plugins/bfd/packet/pool.go|59|PoolBufSize|named constant PoolBufSize|b := make([]byte, PoolBufSize)
bfd|A|internal/plugins/bfd/transport/udp.go|251|rxPoolSize*rxBufLen|pool backing (rxPoolSize*rxBufLen)|backing := make([]byte, rxPoolSize*rxBufLen)
bfd|A|internal/plugins/bfd/transport/udp.go|252|rxPoolSize*oobBufLen|pool backing (rxPoolSize*oobBufLen)|oobBacking := make([]byte, rxPoolSize*oobBufLen)
bgp/attribute|C|internal/component/bgp/attribute/builder.go|377|b.Len(|variable (b.Len()|buf := make([]byte, b.Len())
bgp/attribute|C|internal/component/bgp/attribute/mpnlri.go|211|len(data|variable (len(data)|m.NLRI = make([]byte, len(data)-nlriOffset)
bgp/attribute|C|internal/component/bgp/attribute/mpnlri.go|507|len(data|variable (len(data)|m.NLRI = make([]byte, len(data)-3)
bgp/attribute|A|internal/component/bgp/attribute/wire.go|354|total|named constant total|buf := make([]byte, total)
bgp/attrpool|A|internal/component/bgp/attrpool/pool.go|138|0, initialCapacity|pool constructor (file=pool.go)|p.buffers[0].data = make([]byte, 0, initialCapacity)
bgp/attrpool|A|internal/component/bgp/attrpool/pool.go|459|0, newSize|pool constructor (file=pool.go)|p.buffers[newBit].data = make([]byte, 0, newSize)
bgp/attrpool|A|internal/component/bgp/attrpool/pool.go|569|len(oldData|pool constructor (file=pool.go)|buf.data = make([]byte, len(oldData), newCap)
bgp/attrpool|A|internal/component/bgp/attrpool/pool.go|710|0, liveBytes+liveBytes/4|pool constructor (file=pool.go)|newData := make([]byte, 0, liveBytes+liveBytes/4) // 25% headroom
bgp/context|A|internal/component/bgp/context/context.go|236|8|literal 8|buf := make([]byte, 8)
bgp/context|A|internal/component/bgp/context/context.go|270|4|literal 4|buf := make([]byte, 4)
bgp/context|A|internal/component/bgp/context/context.go|299|5|literal 5|buf := make([]byte, 5)
bgp/format|C|internal/component/bgp/format/decode.go|152|cap.Len(|variable (cap.Len()|buf := make([]byte, cap.Len())
bgp/format|C|internal/component/bgp/format/text_human.go|207|attr.Len(|variable (attr.Len()|attrBuf := make([]byte, attr.Len())
bgp/format|C|internal/component/bgp/format/text_json.go|343|attr.Len(|variable (attr.Len()|attrBuf := make([]byte, attr.Len())
bgp/grmarker|C|internal/component/bgp/grmarker/grmarker.go|45|markerLen|variable (markerLen)|buf := make([]byte, markerLen)
bgp/grmarker|C|internal/component/bgp/grmarker/grmarker.go|117|len(ic.Value|variable (len(ic.Value)|valueCopy := make([]byte, len(ic.Value))
bgp/message|C|internal/component/bgp/message/attr_discard.go|219|keepSize+discardTotalLen|variable (keepSize+discardTotalLen)|result := make([]byte, keepSize+discardTotalLen)
bgp/message|C|internal/component/bgp/message/attr_discard.go|298|withdrawnEnd+2+newAttrLen+len(nlri|variable (withdrawnEnd+2+newAttrLen+len(nlri)|newBody := make([]byte, withdrawnEnd+2+newAttrLen+len(nlri))
bgp/message|C|internal/component/bgp/message/common_attrs.go|65|v.Len(|variable (v.Len()|buf := make([]byte, v.Len())
bgp/message|C|internal/component/bgp/message/message.go|50|size|variable (size)|buf := make([]byte, size)
bgp/message|C|internal/component/bgp/message/notification.go|212|len(data|variable (len(data)|dataCopy := make([]byte, len(data)-2)
bgp/message|C|internal/component/bgp/message/notification.go|317|1+len(b|variable (1+len(b)|data := make([]byte, 1+len(b))
bgp/message|C|internal/component/bgp/message/open.go|202|extOptLen|variable (extOptLen)|o.OptionalParams = make([]byte, extOptLen)
bgp/message|C|internal/component/bgp/message/open.go|212|optLen|variable (optLen)|o.OptionalParams = make([]byte, optLen)
bgp/message|C|internal/component/bgp/message/update_build.go|62|wire.StandardMaxSize|variable (wire.StandardMaxSize)|ub.scratch = make([]byte, wire.StandardMaxSize)
bgp/message|C|internal/component/bgp/message/update_build.go|74|newSize|variable (newSize)|newBuf := make([]byte, newSize)
bgp/message|C|internal/component/bgp/message/update_build.go|290|nlri.LenWithContext(inet, ub.AddPath|variable (nlri.LenWithContext(inet, ub.AddPath)|inlineNLRI = make([]byte, nlri.LenWithContext(inet, ub.AddPath))
bgp/message|C|internal/component/bgp/message/update_build.go|330|attrSize+rawSize|variable (attrSize+rawSize)|attrBytes := make([]byte, attrSize+rawSize)
bgp/message|C|internal/component/bgp/message/update_build.go|496|totalSize|variable (totalSize)|result := make([]byte, totalSize)
bgp/message|C|internal/component/bgp/message/update_build_flowspec.go|118|attribute.AttributesSize(attrs|variable (attribute.AttributesSize(attrs)|attrBytes := make([]byte, attribute.AttributesSize(attrs))
bgp/message|C|internal/component/bgp/message/update_build_grouped.go|207|attrSize+rawSize|variable (attrSize+rawSize)|attrBytes := make([]byte, attrSize+rawSize)
bgp/message|C|internal/component/bgp/message/update_build_mup.go|106|attribute.AttributesSize(attrs|variable (attribute.AttributesSize(attrs)|attrBytes := make([]byte, attribute.AttributesSize(attrs))
bgp/message|C|internal/component/bgp/message/update_build_mup.go|211|attribute.AttributesSize(attrs|variable (attribute.AttributesSize(attrs)|attrBytes := make([]byte, attribute.AttributesSize(attrs))
bgp/message|C|internal/component/bgp/message/update_build_mvpn.go|144|attribute.AttributesSize(attrs|variable (attribute.AttributesSize(attrs)|attrBytes := make([]byte, attribute.AttributesSize(attrs))
bgp/message|C|internal/component/bgp/message/update_build_vpls.go|118|attribute.AttributesSize(attrs|variable (attribute.AttributesSize(attrs)|attrBytes := make([]byte, attribute.AttributesSize(attrs))
bgp/message|C|internal/component/bgp/message/update_split.go|204|hdrLen+attrLen|variable (hdrLen+attrLen)|attrBuf := make([]byte, hdrLen+attrLen)
bgp/message|C|internal/component/bgp/message/update_split.go|246|hdrLen+attrLen|variable (hdrLen+attrLen)|attrBuf := make([]byte, hdrLen+attrLen)
bgp/message|C|internal/component/bgp/message/update_split.go|268|0, len(pathAttrs|builder cap variable (len(pathAttrs)|result := make([]byte, 0, len(pathAttrs)-(end-start))
bgp/message|A|internal/component/bgp/message/eor.go|31|7|literal 7|attrBytes := make([]byte, 7)
bgp/nlri|C|internal/component/bgp/nlri/base.go|72|len(r.data|variable (len(r.data)|result := make([]byte, len(r.data))
bgp/nlri|C|internal/component/bgp/nlri/inet.go|164|1+prefixBytes|variable (1+prefixBytes)|buf := make([]byte, 1+prefixBytes)
bgp/nlri|C|internal/component/bgp/nlri/rd.go|276|len(labels|variable (len(labels)|buf := make([]byte, len(labels)*3)
bgp/nlri|A|internal/component/bgp/nlri/rd.go|76|8|literal 8|buf := make([]byte, 8)
bgp/plugins|C|internal/component/bgp/plugins/adj_rib_in/rib.go|653|4+1+prefixBytes|variable (4+1+prefixBytes)|wire = make([]byte, 4+1+prefixBytes)
bgp/plugins|C|internal/component/bgp/plugins/adj_rib_in/rib.go|661|1+prefixBytes|variable (1+prefixBytes)|wire = make([]byte, 1+prefixBytes)
bgp/plugins|C|internal/component/bgp/plugins/bmp/bmp.go|349|CommonHeaderSize|variable (CommonHeaderSize)|headerBuf := make([]byte, CommonHeaderSize)
bgp/plugins|C|internal/component/bgp/plugins/bmp/bmp.go|381|msgLen|composite uint8-length fields (msgLen)|msgBuf := make([]byte, msgLen)
bgp/plugins|C|internal/component/bgp/plugins/bmp/sender.go|121|CommonHeaderSize+TLVHeaderSize+2+TLVHeaderSize+14|variable (CommonHeaderSize+TLVHeaderSize+2+TLVHeaderSize+14)|buf := make([]byte, CommonHeaderSize+TLVHeaderSize+2+TLVHeaderSize+14)
bgp/plugins|C|internal/component/bgp/plugins/bmp/sender.go|136|CommonHeaderSize+TLVHeaderSize+13|variable (CommonHeaderSize+TLVHeaderSize+13)|buf := make([]byte, CommonHeaderSize+TLVHeaderSize+13)
bgp/plugins|C|internal/component/bgp/plugins/bmp/sender.go|248|CommonHeaderSize+PeerHeaderSize+peerUpFixedSize+len(sentOpen|variable (CommonHeaderSize+PeerHeaderSize+peerUpFixedSize+len(sentOpen)|buf := make([]byte, CommonHeaderSize+PeerHeaderSize+peerUpFixedSize+len(sentOpen)+len(recvOpen))
bgp/plugins|C|internal/component/bgp/plugins/bmp/sender.go|260|CommonHeaderSize+PeerHeaderSize+1+len(data|variable (CommonHeaderSize+PeerHeaderSize+1+len(data)|buf := make([]byte, CommonHeaderSize+PeerHeaderSize+1+len(data))
